Tipo Cinfig. Cassa, Num Cassieri, Giorno, IC Tempo Attesa, IC Slowdown, IC SD Tempo Att, IC Abbandoni, IC Arrivi, Lungh. Fila Tollerata, Costo Mensile
sperimentale_60_20_20, 4, lunedì, "[00:04:15; 00:04:27]", "[4.478525; 4.581590]", "[00:01:34; 00:05:47]", "[725.895643; 783.304357]", "[4088.471949; 4164.828051]", 10, 70768.000000
sperimentale_60_20_20, 4, martedì, "[00:04:06; 00:04:21]", "[4.362996; 4.490906]", "[00:02:40; 00:09:49]", "[653.163274; 696.636726]", "[3949.297754; 4014.102246]", 10, 64392.000000
sperimentale_60_20_20, 4, mercoledì, "[00:04:14; 00:04:28]", "[4.482911; 4.591854]", "[00:02:02; 00:07:30]", "[744.804574; 786.195426]", "[4168.037455; 4250.762545]", 10, 71640.000000
sperimentale_60_20_20, 4, giovedì, "[00:04:23; 00:04:32]", "[4.531592; 4.605843]", "[00:00:54; 00:03:22]", "[723.251891; 785.648109]", "[4151.311684; 4218.388316]", 10, 70756.000000
sperimentale_60_20_20, 4, venerdì, "[00:04:19; 00:04:28]", "[4.480782; 4.551196]", "[00:01:01; 00:03:45]", "[739.767163; 773.332837]", "[4144.929902; 4205.170098]", 10, 70924.000000
sperimentale_60_20_20, 4, sabato, "[00:04:06; 00:04:16]", "[4.350829; 4.443954]", "[00:01:07; 00:04:09]", "[626.070011; 667.529989]", "[3881.917472; 3955.182528]", 10, 62144.000000
sperimentale_60_20_20, 4, domenica, "[00:03:51; 00:04:03]", "[4.201608; 4.308225]", "[00:01:25; 00:05:15]", "[521.402479; 561.797521]", "[3557.590212; 3615.209788]", 10, 39382.400000
sperimentale_60_20_20, 5, lunedì, "[00:04:05; 00:04:19]", "[4.168126; 4.281617]", "[00:02:14; 00:08:17]", "[720.586991; 753.413009]", "[4096.602293; 4143.197707]", 10, 71960.000000
sperimentale_60_20_20, 5, martedì, "[00:04:01; 00:04:12]", "[4.165419; 4.254801]", "[00:01:16; 00:04:40]", "[653.359201; 686.240799]", "[3968.292965; 4018.607035]", 10, 66584.000000
sperimentale_60_20_20, 5, mercoledì, "[00:04:13; 00:04:25]", "[4.216451; 4.314644]", "[00:01:31; 00:05:36]", "[758.780531; 805.419469]", "[4185.932914; 4253.467086]", 10, 75568.000000
sperimentale_60_20_20, 5, giovedì, "[00:04:10; 00:04:20]", "[4.192933; 4.272851]", "[00:01:12; 00:04:27]", "[742.446094; 799.853906]", "[4158.066997; 4252.933003]", 10, 74692.000000
sperimentale_60_20_20, 5, venerdì, "[00:04:07; 00:04:20]", "[4.173751; 4.277794]", "[00:01:56; 00:07:10]", "[718.676430; 749.123570]", "[4129.487492; 4186.212508]", 10, 71712.000000
sperimentale_60_20_20, 5, sabato, "[00:04:01; 00:04:17]", "[4.157310; 4.288883]", "[00:02:43; 00:10:03]", "[633.809803; 669.990197]", "[3889.038801; 3945.161199]", 10, 65152.000000
sperimentale_60_20_20, 5, domenica, "[00:03:52; 00:04:03]", "[4.067071; 4.157318]", "[00:01:18; 00:04:49]", "[508.758914; 548.341086]", "[3559.358813; 3613.941187]", 10, 40937.400000
